,age,time_stamp
186,18+,2018-07-01 17:15:00+00:00
187,18+,2018-07-01 17:19:00+00:00
188,Skip,2018-07-01 17:24:00+00:00
189,11-17 years,2018-07-01 17:52:00+00:00
190,Skip,2018-07-01 17:55:00+00:00
191,Skip,2018-07-01 18:00:00+00:00
192,18+,2018-07-01 18:26:00+00:00
193,10 and Under,2018-07-01 18:34:00+00:00
194,10 and Under,2018-07-01 18:49:00+00:00
195,11-17 years,2018-07-01 18:59:00+00:00
196,11-17 years,2018-07-01 19:10:00+00:00
197,18+,2018-07-01 19:21:00+00:00
198,10 and Under,2018-07-02 15:23:00+00:00
199,Skip,2018-07-02 15:39:00+00:00
200,10 and Under,2018-07-02 16:03:00+00:00
201,18+,2018-07-02 16:17:00+00:00
202,18+,2018-07-02 16:24:00+00:00
203,Skip,2018-07-02 16:37:00+00:00
204,10 and Under,2018-07-02 16:49:00+00:00
205,11-17 years,2018-07-02 16:55:00+00:00
206,18+,2018-07-02 17:00:00+00:00
207,18+,2018-07-02 17:59:00+00:00
208,Skip,2018-07-02 18:07:00+00:00
209,Skip,2018-07-02 18:09:00+00:00
210,10 and Under,2018-07-02 18:10:00+00:00
211,10 and Under,2018-07-02 18:15:00+00:00
212,10 and Under,2018-07-02 18:29:00+00:00
213,18+,2018-07-02 18:37:00+00:00
214,18+,2018-07-02 18:45:00+00:00
215,11-17 years,2018-07-02 18:50:00+00:00
216,18+,2018-07-02 19:06:00+00:00
217,18+,2018-07-02 19:16:00+00:00
218,10 and Under,2018-07-02 19:34:00+00:00
219,Skip,2018-07-02 19:45:00+00:00
220,10 and Under,2018-07-02 19:47:00+00:00
221,Skip,2018-07-02 19:50:00+00:00
222,Skip,2018-07-03 15:09:00+00:00
223,11-17 years,2018-07-03 15:13:00+00:00
224,Skip,2018-07-03 15:14:00+00:00
225,Skip,2018-07-03 15:17:00+00:00
226,10 and Under,2018-07-03 15:54:00+00:00
227,18+,2018-07-03 16:00:00+00:00
228,11-17 years,2018-07-03 16:42:00+00:00
229,Skip,2018-07-03 16:51:00+00:00
230,10 and Under,2018-07-03 16:57:00+00:00
231,10 and Under,2018-07-03 17:01:00+00:00
232,Skip,2018-07-03 17:11:00+00:00
233,11-17 years,2018-07-03 17:19:00+00:00
234,Skip,2018-07-03 17:35:00+00:00
235,18+,2018-07-03 17:49:00+00:00
236,18+,2018-07-03 18:06:00+00:00
237,10 and Under,2018-07-03 18:15:00+00:00
238,10 and Under,2018-07-03 18:17:00+00:00
239,10 and Under,2018-07-03 18:30:00+00:00
240,10 and Under,2018-07-03 18:36:00+00:00
241,10 and Under,2018-07-03 18:45:00+00:00
242,18+,2018-07-03 18:53:00+00:00
243,18+,2018-07-03 19:06:00+00:00
244,10 and Under,2018-07-03 19:23:00+00:00
245,11-17 years,2018-07-03 19:25:00+00:00
246,18+,2018-07-03 19:39:00+00:00
247,18+,2018-07-03 19:43:00+00:00
248,10 and Under,2018-07-03 19:51:00+00:00
249,Skip,2018-07-04 15:45:00+00:00
250,11-17 years,2018-07-04 15:46:00+00:00
251,10 and Under,2018-07-04 16:00:00+00:00
252,11-17 years,2018-07-04 16:22:00+00:00
253,Skip,2018-07-04 16:29:00+00:00
254,11-17 years,2018-07-04 16:44:00+00:00
255,11-17 years,2018-07-04 16:54:00+00:00
256,Skip,2018-07-04 16:58:00+00:00
257,10 and Under,2018-07-04 17:04:00+00:00
258,10 and Under,2018-07-04 17:12:00+00:00
259,18+,2018-07-04 17:14:00+00:00
260,18+,2018-07-04 17:28:00+00:00
261,18+,2018-07-04 17:36:00+00:00
262,18+,2018-07-04 17:44:00+00:00
263,10 and Under,2018-07-04 18:41:00+00:00
264,11-17 years,2018-07-04 19:01:00+00:00
265,18+,2018-07-04 19:05:00+00:00
266,11-17 years,2018-07-04 19:07:00+00:00
267,11-17 years,2018-07-04 19:10:00+00:00
268,18+,2018-07-04 19:18:00+00:00
269,11-17 years,2018-07-04 19:25:00+00:00
270,11-17 years,2018-07-04 19:30:00+00:00
271,10 and Under,2018-07-05 15:09:00+00:00
272,11-17 years,2018-07-05 15:21:00+00:00
273,18+,2018-07-05 15:28:00+00:00
274,11-17 years,2018-07-05 15:40:00+00:00
275,18+,2018-07-05 15:43:00+00:00
276,10 and Under,2018-07-05 15:57:00+00:00
277,10 and Under,2018-07-05 15:59:00+00:00
278,11-17 years,2018-07-05 16:04:00+00:00
279,10 and Under,2018-07-05 16:06:00+00:00
280,10 and Under,2018-07-05 16:10:00+00:00
281,11-17 years,2018-07-05 16:11:00+00:00
282,10 and Under,2018-07-05 16:15:00+00:00
283,11-17 years,2018-07-05 16:17:00+00:00
284,11-17 years,2018-07-05 16:25:00+00:00
285,18+,2018-07-05 16:29:00+00:00
286,11-17 years,2018-07-05 16:37:00+00:00
287,10 and Under,2018-07-05 16:57:00+00:00
288,10 and Under,2018-07-05 17:23:00+00:00
289,10 and Under,2018-07-05 17:28:00+00:00
290,10 and Under,2018-07-05 17:36:00+00:00
291,11-17 years,2018-07-05 17:40:00+00:00
292,18+,2018-07-05 17:54:00+00:00
293,10 and Under,2018-07-05 17:59:00+00:00
294,11-17 years,2018-07-05 18:37:00+00:00
