in_analysis,GenID,isolate,species,Region,subregion,,,Collector,number
D318_magellanica1_Ch,D318_mage1_Ch,D318,mag3,CH,,Chile,,"Von Konrat, Matt",9984
D319_magellanica3_Ch,D319_mage3_Ch,D319,mag3,CH,,Chile,,"Von Konrat, Matt",6361
D320_magellanica3_Ch,D320_mage3_Ch,D320,mag3,CH,,Chile,,"Larraín, Juan",36381
D321_fertilis_Ch,D321_fertilis_Ch,D321,fertilis,CH,,Chile,,"Larraín, Juan",36612
D322_magellanica3_Ch,D322_mage3_Ch,D322,mag3,CH,,Chile,,"Larraín, Juan",36644
D323_fertilis_Ch,D323_fertilis_Ch,D323,fertilis,CH,,Chile,,"Larraín, Juan",36616
D324_magellanica1_Ch,D324_mage1_Ch,D324,mage1,CH,,Chile,,"Larraín, Juan",36797
D325_fertilis_Ch,D325_fertilis_Ch,D325,fertilis,CH,,Chile,,"Larraín, Juan",36311
D326_magellanica3_Ch,D326_mage3_Ch,D326,mag3,CH,,Chile,,"Briscoe, Laura",1818
D327_fertilis_Ch,D327_fertilis_Ch,D327,fertilis,CH,,Chile,,"Briscoe, Laura",1906
D329_magellanica1_Ch,D329_mage1_Ch,D329,mage1,CH,,Chile,,"Shaw, Blanka",13701
D330_magellanica3_Ch,D330_mage3_Ch,D330,mag3,CH,,Chile,,"Shaw, Blanka",13786
D331_magellanica3_Ch,D331_mage3_Ch,D331,mag3,CH,,Chile,,"Larraín, Juan",36518
D333_magellanica1_Ch,D333_mage1_Ch,D333,mage1,CH,,Chile,,"Larraín, Juan",36484
D334_magellanica3_Ch,D334_mage3_Ch,D334,mag3,CH,,Chile,,"Larraín, Juan",36308
D335_magellanica3_Ch,D335_mage3_Ch,D335,mag3,CH,,Chile,,"Buck, Bill",58886
D336_fertilis_Ch,D336_fertilis_Ch,D336,fertilis,CH,,Chile,,"Larraín, Juan",36204
D337_fertilis_Ch,D337_fertilis_Ch,D337,fertilis,CH,,Chile,,"Larraín, Juan",36894
D338_microcaulis_Ch,D338_microcaulis_Ch,D338,microcaulis,CH,,Chile,,"Von Konrat, Matt",6539
D341_microcaulis_Ch,D341_microcaulis_Ch,D341,microcaulis,CH,,Chile,,"Shaw, Blanka",14323
D342_microcaulis_Ch,D342_microcaulis_Ch,D342,microcaulis,CH,,Chile,,"Von Konrat, Matt",9672
D343_magellanica3_Ch,D343_mage3_Ch,D343,mage3,CH,,Chile,,"Larraín, Juan",36224
D345_microcaulis_Ch,D345_microcaulis_Ch,D345,microcaulis,CH,,Chile,,"Von Konrat, Matt",9671
D349_fertilis_Ch,D349_fertilis_Ch,D349,fertilis,CH,,Chile,,"Briscoe, Laura",1121
D350_magellanica1_Ch,D350_mage1_Ch,D350,mage1,CH,,Chile,,"Briscoe, Laura",1098
D351_magellanica3_Ch,D351_mage3_Ch,D351,mag3,CH,,Chile,,"Briscoe, Laura",1004
D352_magellanica3_Ch,D352_mage3_Ch,D352,mag3,CH,,Chile,,"Briscoe, Laura",1019
D358_chevalieri_NC,D358_cf_chevalieri_NC,D358,chevalieri,NC,,New Caledonia,,"Larraín, Juan",35882
D359_chevalieri_NC,D359_cf_chevalieri_NC,D359,chevalieri,NC,,New Caledonia,,"Larraín, Juan",35613
D363_chevalieri_NC,D363_cf_chevalieri_NC,D363,chevalieri,NC,,New Caledonia,,"Larraín, Juan",35718
D364_microcaulis_Ch,D364_microcaulis_Ch,D364,microcaulis,CH,,Chile,,"Briscoe, Laura",1702
D365_fertilis_Ch,D365_fertilis_Ch,D365,fertilis,CH,,Chile,,"Briscoe, Laura",1943
D366_lobulata_Ch,D366_lobulata_Ch,D366,lobulata,CH,,Chile,,"Briscoe, Laura",1802
D367_magellanica3_Ch,D367_mage3_Ch,D367,mag3,CH,,Chile,,"Briscoe, Laura",1688
D368_chevalieri_NC,D368_cf_chevalieri_NC,D368,chevalieri,NC,,New Caledonia,,"Larraín, Juan",36107
D369_microcaulis_Ch,D369_microcaulis_Ch,D369,microcaulis,CH,,Chile,,"Buck, Bill",58496
D370_rostrata_AUnsw,D370_cf_rostrata_AU_nsw,D370,rostrata,AUS,nsw,Australia,New South Wales,"Renner, Matt",6616
D371_rostrata_AUnsw,D371_cf_junghuhniana_AU_nsw,D371,rostrata,AUS,nsw,Australia,New South Wales,"Renner, Matt",6646
D372_rostrata_AUnsw,D372_cf_rostrata_AU_nsw,D372,rostrata,AUS,nsw,Australia,New South Wales,"Renner, Matt",6621
D373_rostrata_AUnsw,D373_cf_rostrata_AU_nsw,D373,rostrata,AUS,nsw,Australia,New South Wales,"Renner, Matt",6645
D376_coastal_NZ_X,D376_rostrata_NZ,D376,coastal,NZ,???,New Zealand,,"de Lange, Peter",K251
D377_coastal_NZ_X,D377_rostrata_NZ,D377,coastal,NZ,???,New Zealand,,"de Lange, Peter",K36
D378_rostrata_NZ_X,D378_rostrata_NZ,D378,rostrata,NZ,???,New Zealand,,"Braggins, J.E.",7010D
D379_lobulata_Ch,D379_lobulata_Ch,D379,lobulata,CH,,Chile,,"Buck, Bill",58405
D380_lobulata_Ch,D380_lobulata_Ch,D380,lobulata,CH,,Chile,,"Cameron, E.K.",11192
D381_sp_A_NC,D381_cf_microscopica_NC,D381,species B,NC,,New Caledonia,,"Shaw, Blanka",17627
D382_scalaris_NC,D382_scalaris_NC,D382,scalaris,NC,,New Caledonia,,"Shaw, Blanka",17629
D383_sp_A_NC,D383_cf_microscopica_NC,D383,species B,NC,,New Caledonia,,"Shaw, Blanka",17628
D384_pseudomeyeniana_NC,D384_scalaris_NC,D384,scalaris,NC,,New Caledonia,,"Shaw, Blanka",17619
D385_chevalieri_NC,D385_npc2_NC,D385,chevalieri,NC,,New Caledonia,,"Shaw, Blanka",17607
D386_sp_A_NC,D386_cf_microscopica_NC,D386,species B,NC,,New Caledonia,,"Shaw, Blanka",17624
D387_parhamii_Fi,D387_parhamii_Fi,D387,parhamii,FI,,Fiji,,"Shaw, Blanka",16064
D388_chevalieri_Fi,D388_chevalieri_Fi,D388,chevalieri,FI,,Fiji,,"Shaw, Blanka",16214
D389_parhamii_Fi,D389_parhamii_Fi,D389,parhamii,FI,,Fiji,,"Shaw, Blanka",16065
D390_parhamii_Fi,D390_parhamii_Fi,D390,parhamii,FI,,Fiji,,"Shaw, Blanka",16061
D392_chevalieri_Fi,D392_chevalieri_Fi,D392,chevalieri,FI,,Fiji,,"Shaw, Blanka",17713
D393_chevalieri_Fi,D393_chevalieri_Fi,D393,chevalieri,FI,,Fiji,,"Shaw, Blanka",17710
D394_sp_A_NC,D394_cf_microscopica_NC,D394,species B,NC,,New Caledonia,,"Shaw, Blanka",17625
D395_parhamii_Fi,D395_parhamii_Fi,D395,parhamii,FI,,Fiji,,"Shaw, Blanka",15924
D396_sp_A_NC,D396_cf_microscopica_NC,D396,species B,NC,,New Caledonia,,"Shaw, Blanka",17630
D439_rostrata_TAS,D439_rostrata_TAS,D439,rostrata,TAS,,Tasmania,,"Pócs, T.",0060/M
D440_rostrata_TAS,D440_cf_rostrata_TAS,D440,rostrata,TAS,duplicate,Tasmania,,"Pócs, T.",0058/K
,D440_rostrata_TAS,D440,rostrata,TAS,duplicate,Tasmania,,,
D441_rostrata_TAS,D441_cf_rostrata_TAS,D441,rostrata,TAS,duplicate,Tasmania,,,
,D441_rostrata_TAS,D441,rostrata,TAS,duplicate,Tasmania,,"Pócs, T.",0073/K
D442_rostrata_TAS,D442_rostrata_TAS,D442,rostrata,TAS,,Tasmania,,"Pócs, T.",0072/AK
D443_rostrata_TAS,D443_rostrata_TAS,D443,rostrata,TAS,,Tasmania,,"Pócs, T.",0085/B
D444_rostrata_TAS,D444_rostrata_TAS,D444,rostrata,TAS,,Tasmania,,"Pócs, T.",0086/AF
D445_rostrata_TAS,D445_rostrata_TAS,D445,rostrata,TAS,,Tasmania,,"Pócs, T.",0057/D
D447_rostrata_TAS,D447_cf_rostrata_TAS,D447,rostrata,TAS,,Tasmania,,"Pócs, T.",0088/A
D448_rostrata_TAS,D448_cf_rostrata_TAS,D448,rostrata,TAS,duplicate,Tasmania,,"Pócs, T.",0055/X
,D448_rostrata_TAS,D448,rostrata,TAS,duplicate,Tasmania,,,
D450_rostrata_AUnsw,D450_rostrata_AU_nsw,D450,rostrata,AUS,nsw,Australia,New South Wales,"Pócs, T.",003/F
D451_rostrata_NZn,D451_rostrata_NZ_northIs,D451,rostrata,NZ,north,New Zealand,North Island,"de Lange, Peter",12010
D452_rostrata_NZn,D452_rostrata_NZ_northIs,D452,rostrata,NZ,north,New Zealand,North Island,"de Lange, Peter",12009
D453_fertilis_Ch,D453_fertilis_Ch,D453,fertilis,CH,,Chile,,"Larraín, Juan",33051
D454_rostrata_NZn,D454_cf_coastal_NZ_northIs,D454,rostrata,NZ,north,New Zealand,North Island,"de Lange, Peter",12008
D455_rostrata_NZn,D455_rostrata_NZ_northIs,D455,rostrata,NZ,north,New Zealand,North Island,"de Lange, Peter",12021
D456_rostrata_NZn,D456_cf_coastal_NZ_northIs,D456,rostrata,NZ,north,New Zealand,North Island,"de Lange, Peter",12015
D457_coastal_NZn,D457_cf_coastal_NZ_northIs,D457,coastal,NZ,north,New Zealand,North Island,"de Lange, Peter",12229
D458_fertilis_Ch,D458_fertilis_Ch,D458,fertilis,CH,,Chile,,"Larraín, Juan",37788
D459_fertilis_Ch,D459_fertilis_Ch,D459,fertilis,CH,,Chile,,"Larraín, Juan",37789
D463_rostrata_AUnsw,D463_rostrata_AU_nsw,D463,rostrata,AUS,nsw,Australia,New South Wales,"Shaw, Blanka",14401
D464_rostrata_AUnsw,D464_rostrata_AU_nsw,D464,rostrata,AUS,nsw,Australia,New South Wales,"Shaw, Blanka",14406
D467_rostrata_TAS,D467_cf_rostrata_TAS,D467,rostrata,TAS,duplicate,Tasmania,,"Pócs, T.",0063/E
D468_rostrata_TAS,D468_rostrata_TAS,D468,rostrata,TAS,,Tasmania,,"Pócs, T.",0070/O
D469_rostrata_TAS,D469_rostrata_TAS,D469,rostrata,TAS,,Tasmania,,"Pócs, T.",0071/Q
D470_rostrata_TAS,D470_rostrata_TAS,D470,rostrata,TAS,,Tasmania,,"Pócs, T.",0055/A
D471_coastal_NC,D471_odd_cf_rostrata_NC,D471,coastal,NC,,New Caledonia,,"Shaw, Blanka",17562
D472_nisquallensis,D472_nisquallensis_OUTGR,D472,nisqualensis,,,,,Schofield,122967
D473_asagrayana,D473_asagrayana_OUTGR,D473,asagrayana,,,,,"Horn,J",1831
D474_franciscana,D474_franciscana_OUTGR,D474,franciscana,,,,,Schofield,114414
D475_inflata,D475_inflata_OUTGR,D475,inflata,,,,,"Shaw, Blanka",6075
D478_magellanica3_TdC,D478_mage_Gough,D478,mag3,GOU,,Gough Island,,"Gremmen, NJM",99-146
D479_rostrata_TAS,D479_weymouthiana_TAS,D479,rostrata,TAS,,Tasmania,,"Dalton, Paddy",14118
D480_rostrata_TAS,D480_cf_rostrata_TAS,D480,rostrata,TAS,,Tasmania,,"Dalton, Paddy",14115
D481_perversa_MAL,D481_perversa_MAL,D481,junghuhniana,MAL,,Malaysia,,"Larraín, Juan",37898
D482_bisexualis_MAL,D482_bisexualis_MAL,D482,junghuhniana,MAL,,Malaysia,,"Von Konrat, Matt",17496
D483_perversa_MAL,D483_perversa_MAL,D483,junghuhniana,MAL,,Malaysia,,"Larraín, Juan",38035
D484_bisexualis_MAL,D484_bisexualis_MAL,D484,junghuhniana,MAL,,Malaysia,,"Larraín, Juan",37965
D485_bisexualis_MAL,D485_bisexualis_MAL,D485,junghuhniana,MAL,,Malaysia,,"Larraín, Juan",37924
D486_junghuhniana_MAL,D486_junghuhniana_MAL,D486,junghuhniana,MAL,,Malaysia,,"Von Konrat, Matt",17770
D487_perversa_MAL,D487_perversa_MAL,D487,junghuhniana,MAL,,Malaysia,,"Von Konrat, Matt",17398
D488_bisexualis_MAL,D488_bisexualis_MAL,D488,junghuhniana,MAL,,Malaysia,,"Von Konrat, Matt",17491
D489_perversa_MAL,D489_perversa_MAL,D489,junghuhniana,MAL,,Malaysia,,"Von Konrat, Matt",17433
D490_junghuhniana_MAL,D490_junghuhniana_MAL,D490,junghuhniana,MAL,,Malaysia,,"Von Konrat, Matt",17459
D491_junghuhniana_MAL,D491_junghuhniana_MAL,D491,junghuhniana,MAL,,Malaysia,,"Von Konrat, Matt",17494
D492_junghuhniana_MAL,D492_junghuhniana_MAL,D492,junghuhniana,MAL,,Malaysia,,"Von Konrat, Matt",17655
D493_bisexualis_MAL,D493_bisexualis_MAL,D493,junghuhniana,MAL,,Malaysia,,"Larraín, Juan",37961
D494_junghuhniana_MAL,D494_junghuhniana_MAL,D494,junghuhniana,MAL,,Malaysia,,"Larraín, Juan",37889
D495_junghuhniana_MAL,D495_junghuhniana_MAL,D495,junghuhniana,MAL,,Malaysia,,"Larraín, Juan",37864
D497_rostrata_AUvic,D497_rostrata_AU_vic,D497,rostrata,AUS,vic,Australia,Victoria,"Pócs, T. & H. Streimann",99172/D
D498_coastal_AUqsl,D498_cf_coastal_AU_qsl,D498,coastal,AUS,qsl,Australia,Queensland,"Pócs, T. & H. Streimann",99128/E
D500_coastal_AUvic,D500_andropotentis_AU_vic,D500,coastal,AUS,vic,Australia,Victoria,"Pócs, T. & H. Streimann",99189/A
D501_coastal_AUqsl,D501_andropotentis_AU_qsl,D501,coastal,AUS,qsl,Australia,Queensland,"Pócs, T. & H. Streimann",9977/U
D502_coastal_AUqsl,D502_cf_coastal_AU_qsl,D502,coastal,AUS,qsl,Australia,Queensland,"Pócs, T. & H. Streimann",99109/BO
,D503_rostrata_AU_qsl,D503,coastal,AUS,qsl,Australia,Queensland,"Pócs, S., T. Pócs",01119/N
D504_coastal_AUqsl,D504_coast_jung_AU_qsl,D504,coastal,AUS,qsl,Australia,Queensland,"Pócs, T, & E.A. Brown",01093/R
D505_coastal_AUqsl,D505_andropotentis_AU_qsl,D505,coastal,AUS,qsl,Australia,Queensland,"Cairns, A., T. Pócs, H. Streimann & H. Walker",9973/N
,D506_rostrata_AU_qsl,D506,rostrata,AUS,qsl,Australia,Queensland,"Pócs, T. & H. Streimann",99108/G
D507_coastal_AU_nsw,D507_cf_gracilis_AU_nsw,D507,coastal,AUS,nsw,Australia,New South Wales,"Pócs, S., T. Pócs & E.A. Brown",0037/E
D508_coastal_AUqsl,D508_rost_jung_AU_qsl,D508,coastal,AUS,qsl,Australia,Queensland,"Pócs, T. & H. Streimann",9961/K
D510_rostrata_AUqsl,D510_cf_rostrata_AU_qsl,D510,rostrata,AUS,nsw,Australia,New South Wales,"Pócs, T. & H. Streimann",99200/G
D511_coastal_AUqsl,D511_cf_andropotentis_AU_qsl,D511,coastal,AUS,qsl,Australia,Queensland,"Pócs, T. & H. Streimann",99128/D
D512_rostrata_AUvic,D512_rostrata_AU_vic,D512,rostrata,AUS,vic,Australia,Victoria,"Pócs, T. & H. Streimann",99173/G
D513_coastal_AUnsw,D513_coast_jung_AU_nsw,D513,coastal,AUS,nsw,Australia,New South Wales,"Pócs, S., T. Pócs & E.A. Brown",0046/Q
D514_rostrata_AUvic,D514_weymouthiana_AU_vic,D514,rostrata,AUS,vic,Australia,Victoria,"Pócs, T. & H. Streimann",99172/C
F007_toropuku_NZn,F007_toropuku_NZ_northIs,F007,toropuku,NZ,north,New Zealand,North Island,"de Lange, Peter",8038
F045_toropuku_NZn,F045_toropuku_NZ_northIs,F045,toropuku,NZ,north,New Zealand,North Island,"de Lange, Peter",8038
F046_coastal_NZn,F046_cf_coastal_NZ_northIs,F046,coastal,NZ,north,New Zealand,North Island,"de Lange, Peter",K225
F060_coastal_NZn,F060_cf_coastal_NZ_northIs,F060,coastal,NZ,north,New Zealand,North Island,"Cameron, E.K.",12503
