Time_Stamp,Age
2018-07-18 14:02,11-17 years
2018-07-18 14:04,11-17 years
2018-07-18 14:31,10 and Under
2018-07-18 14:35,10 and Under
2018-07-19 10:32,10 and Under
2018-07-19 10:57,18+
2018-07-19 10:59,11-17 years
2018-07-19 11:01,10 and Under
2018-07-19 11:25,11-17 years
2018-07-19 11:47,11-17 years
2018-07-19 12:15,Skip
2018-07-19 13:09,10 and Under
2018-07-19 13:11,10 and Under
2018-07-19 13:18,11-17 years
2018-07-19 13:22,18+
2018-07-19 13:52,11-17 years
2018-07-19 14:28,Skip
2018-07-19 14:36,10 and Under
2018-07-19 14:50,18+
2018-07-20 10:19,18+
2018-07-20 10:34,10 and Under
2018-07-20 10:50,Skip
2018-07-20 11:06,11-17 years
2018-07-20 11:08,18+
2018-07-20 11:11,10 and Under
2018-07-20 11:18,18+
2018-07-20 11:58,18+
2018-07-20 12:04,18+
2018-07-20 12:35,Skip
2018-07-20 12:51,18+
2018-07-20 12:57,10 and Under
2018-07-20 13:00,18+
2018-07-20 13:14,11-17 years
2018-07-20 13:29,18+
2018-07-20 13:42,10 and Under
2018-07-20 13:48,11-17 years
2018-07-20 13:51,11-17 years
2018-07-20 13:53,10 and Under
2018-07-20 13:55,10 and Under
2018-07-20 13:59,10 and Under
2018-07-20 14:10,10 and Under
2018-07-20 14:13,10 and Under
2018-07-20 14:19,11-17 years
2018-07-20 14:22,11-17 years
2018-07-20 14:53,10 and Under
2018-07-20 14:56,18+
2018-07-20 15:02,10 and Under
2018-07-21 10:18,11-17 years
2018-07-21 10:20,11-17 years
2018-07-21 10:20,18+
2018-07-21 10:27,10 and Under
2018-07-21 10:40,Skip
2018-07-21 10:42,10 and Under
2018-07-21 10:49,18+
2018-07-21 11:03,11-17 years
2018-07-21 11:08,18+
2018-07-21 11:13,18+
2018-07-21 11:46,18+
2018-07-21 11:50,18+
2018-07-21 12:02,18+
2018-07-21 12:12,10 and Under
2018-07-21 12:29,11-17 years
2018-07-21 12:30,18+
2018-07-21 12:31,10 and Under
2018-07-21 12:44,18+
2018-07-21 12:47,11-17 years
2018-07-21 12:54,11-17 years
2018-07-21 12:59,10 and Under
2018-07-21 13:04,11-17 years
2018-07-21 13:22,18+
2018-07-21 13:31,11-17 years
2018-07-21 13:50,11-17 years
2018-07-21 14:00,18+
2018-07-21 14:09,18+
2018-07-21 14:13,Skip
2018-07-21 14:22,18+
2018-07-22 10:24,10 and Under
2018-07-22 10:36,Skip
2018-07-22 10:43,Skip
2018-07-22 11:25,10 and Under
2018-07-22 11:42,18+
2018-07-22 12:19,10 and Under
2018-07-22 12:25,10 and Under
2018-07-22 12:30,18+
2018-07-22 12:44,Skip
2018-07-22 12:59,10 and Under
2018-07-22 13:04,10 and Under
2018-07-22 13:15,18+
2018-07-22 13:17,18+
2018-07-22 13:22,Skip
2018-07-22 13:31,18+
2018-07-22 13:34,10 and Under
2018-07-22 13:36,11-17 years
2018-07-22 13:40,11-17 years
2018-07-22 13:42,18+
2018-07-22 14:11,10 and Under
2018-07-22 14:47,Skip
2018-07-22 14:49,18+
2018-07-22 14:50,18+
2018-07-22 14:57,10 and Under
2018-07-23 10:48,10 and Under
2018-07-23 11:30,11-17 years
2018-07-23 11:44,10 and Under
2018-07-23 12:06,18+
2018-07-23 12:34,18+
2018-07-23 12:44,18+
2018-07-23 13:06,Skip
2018-07-23 13:38,11-17 years
2018-07-23 13:38,Skip
2018-07-23 13:52,11-17 years
2018-07-23 14:53,18+
2018-07-23 15:02,Skip
2018-07-23 15:08,18+
2018-07-24 10:36,11-17 years
2018-07-24 10:36,11-17 years
2018-07-24 11:03,10 and Under
2018-07-24 11:13,18+
2018-07-24 11:31,10 and Under
2018-07-24 11:39,10 and Under
2018-07-24 11:42,10 and Under
2018-07-24 12:01,11-17 years
2018-07-24 12:02,11-17 years
2018-07-24 12:32,11-17 years
2018-07-24 12:38,11-17 years
2018-07-24 12:40,10 and Under
2018-07-24 12:51,18+
2018-07-24 12:56,Skip
2018-07-24 13:13,11-17 years
2018-07-24 13:35,18+
2018-07-24 13:50,18+
2018-07-24 14:02,18+
2018-07-24 14:23,18+
2018-07-24 14:32,Skip
2018-07-24 14:34,10 and Under
2018-07-24 14:39,18+
2018-07-24 14:56,11-17 years
2018-07-25 10:27,11-17 years
2018-07-25 10:54,11-17 years
2018-07-25 10:55,18+
2018-07-25 10:58,Skip
2018-07-25 11:10,11-17 years
2018-07-25 11:19,11-17 years
2018-07-25 11:27,18+
2018-07-25 12:04,Skip
2018-07-25 12:21,10 and Under
2018-07-25 12:22,11-17 years
2018-07-25 12:23,10 and Under
2018-07-25 12:35,18+
2018-07-25 12:47,10 and Under
2018-07-25 12:49,Skip
2018-07-25 14:08,18+
2018-07-25 14:25,10 and Under
2018-07-25 14:35,18+
2018-07-25 14:38,11-17 years
2018-07-25 14:53,10 and Under
2018-07-25 15:00,18+
2018-07-26 10:38,11-17 years
2018-07-26 10:47,10 and Under
2018-07-26 10:58,Skip
2018-07-26 11:23,10 and Under
2018-07-26 11:32,11-17 years
2018-07-26 11:44,10 and Under
2018-07-26 12:10,Skip
2018-07-26 12:28,18+
2018-07-26 12:51,18+
2018-07-26 13:10,10 and Under
2018-07-26 13:21,10 and Under
2018-07-26 13:34,18+
2018-07-26 13:59,10 and Under
2018-07-26 14:00,10 and Under
2018-07-26 14:15,18+
2018-07-26 14:15,18+
2018-07-26 14:17,11-17 years
2018-07-26 14:31,11-17 years
2018-07-27 10:11,18+
2018-07-27 11:10,Skip
2018-07-27 11:22,18+
2018-07-27 11:27,11-17 years
2018-07-27 11:30,10 and Under
2018-07-27 11:33,18+
2018-07-27 11:38,10 and Under
2018-07-27 11:48,10 and Under
2018-07-27 11:49,10 and Under
2018-07-27 11:53,10 and Under
2018-07-27 12:00,10 and Under
2018-07-27 12:10,10 and Under
2018-07-27 12:15,10 and Under
2018-07-27 12:18,10 and Under
2018-07-27 12:20,10 and Under
2018-07-27 12:28,10 and Under
2018-07-27 12:34,18+
2018-07-27 12:35,10 and Under
2018-07-27 12:37,10 and Under
2018-07-27 12:40,Skip
2018-07-27 12:47,18+
2018-07-27 12:49,10 and Under
2018-07-27 12:52,10 and Under
2018-07-27 12:55,10 and Under
2018-07-27 12:56,10 and Under
2018-07-27 13:03,11-17 years
2018-07-27 13:03,Skip
2018-07-27 13:04,Skip
2018-07-27 13:05,Skip
2018-07-27 13:22,Skip
