# ----------------------------------------
# All Web Site Data
# Microplants Age Survey Report
# 20180620-20190623
# ----------------------------------------

Date,Hour,Minute,Event Action,Event Label,Total Events
20180625,13,11,Answer: 11-17,SessionID: 1ef3bc55a9a07b9dd51b2a4df08e7a894c05eb5a97b352a3077f869886ec47f7,1
20180625,13,13,Answer: 10 and Under,SessionID: Ef68bbfaa0552c88268aac3a9265ba90d49fd18fa6605038f8796377d5416c58,1
20180625,13,47,Answer: 10 and Under,SessionID: B1c439ab74310cfa725d52b896d9e74b5fb64b2bcb1249f1a77135b5c7cfc070,1
20180625,14,16,Answer: 18+,SessionID: B1c439ab74310cfa725d52b896d9e74b5fb64b2bcb1249f1a77135b5c7cfc070,1
20180625,14,18,Answer: Skip,SessionID: 8100dae9bdad90e5f6cbec6951a4239e0b6a2740e078ffa1a87f9b8491acf6e0,1
20180625,14,49,Answer: 10 and Under,SessionID: 37e44d311678d44b327191f8286693933674a837dd71af9db11de228930588dc,1
20180626,10,23,Answer: 18+,SessionID: 37e44d311678d44b327191f8286693933674a837dd71af9db11de228930588dc,1
20180626,10,39,Answer: 11-17,SessionID: 26694e1f8037e46d1f26e23ae2812c09791f975083cac04d45a3b59b3d54aad5,1
20180626,11,01,Answer: Skip,SessionID: B3fb4362bc75139c903991bca91d907a57fd8e890abf8ab8655c06eb4e87c8c7,1
20180626,11,09,Answer: Skip,SessionID: 0b55870f94fe68a2371c38255b159ca2dc50e9c4031efd2f680afd36d2af044f,1
20180626,11,10,Answer: 18+,SessionID: 0b55870f94fe68a2371c38255b159ca2dc50e9c4031efd2f680afd36d2af044f,1
20180626,11,19,Answer: 11-17,SessionID: 0b55870f94fe68a2371c38255b159ca2dc50e9c4031efd2f680afd36d2af044f,1
20180626,11,23,Answer: 11-17,SessionID: D6c162651555a8daa2104c7b3f7e8f023da8473c130ece018bd561fc00203833,1
20180626,11,51,Answer: 10 and Under,SessionID: F68cd635a5be32f1d97bba8bff7a787988b7a23a5372fd4fefe044b80cda8d05,1
20180626,11,54,Answer: 10 and Under,SessionID: F68cd635a5be32f1d97bba8bff7a787988b7a23a5372fd4fefe044b80cda8d05,1
20180626,12,14,Answer: 18+,SessionID: A92c89167294321d1d32451a588f811a7e166b926a8ecf460520731d44b6c538,1
20180626,12,21,Answer: 18+,SessionID: 7905faa4400bbe084b7462026e7dc750633784eb13c00e851be252bd8867526c,1
20180626,12,24,Answer: 10 and Under,SessionID: 44e8f7d76925ef913e41fca899441dd6d948057b185f73110eff31fd41dd1ad8,1
20180626,12,34,Answer: 10 and Under,SessionID: 8844e628efc590a4fb12112656e38f6b471e8f984d83a91149b95b57a33c99d3,1
